Type,Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
GSF-GSF,142191,25487594,4.347743841,1.515664295,-2.508806281,3.211156962,2.9311,0.947348,-1.02734,-1,73.99278179,-40.81481087,54.9074845,-28.18246115,68.4155,-0.40109,2.21002,1,34.98038769
GSF-GSF,142191,25487594,4.347743841,1.515664295,-2.508806281,3.211156962,2.9311,0.947348,-1.02734,-1,6.410386628,1.236040628,-3.646443695,5.125300811,3.85024,1.09731,-1.24398,-1,0.884228892
GSF-GSF,142191,25487594,4.347743841,1.515664295,-2.508806281,3.211156962,2.9311,0.947348,-1.02734,-1,62.92656135,31.55780968,34.81143247,41.85714923,46.9865,0.802038,0.834382,-1,18.90411536
GSF-GSF,142191,25487594,10.65527286,1.959454227,-5.458668264,8.938585982,5.7997,1.21741,-1.22616,-1,73.99278179,-40.81481087,54.9074845,-28.18246115,68.4155,-0.40109,2.21002,1,53.29204685
GSF-GSF,142191,25487594,10.65527286,1.959454227,-5.458668264,8.938585982,5.7997,1.21741,-1.22616,-1,6.410386628,1.236040628,-3.646443695,5.125300811,3.85024,1.09731,-1.24398,-1,0.574082614
GSF-GSF,142191,25487594,10.65527286,1.959454227,-5.458668264,8.938585982,5.7997,1.21741,-1.22616,-1,62.92656135,31.55780968,34.81143247,41.85714923,46.9865,0.802038,0.834382,-1,29.13911228
GSF-GSF,142191,25487594,10.65527286,1.959454227,-5.458668264,8.938585982,5.7997,1.21741,-1.22616,-1,4.347743841,1.515664295,-2.508806281,3.211156962,2.9311,0.947348,-1.02734,-1,1.384614434
GSF-GSF,142191,63032118,126.7320723,-29.97311417,5.735295345,-123.0029958,30.5169,-2.10212,2.95253,1,25.71453335,24.84140678,-6.475766805,-1.48532111,25.6716,-0.0578263,-0.255009,-1,87.83930683
GSF-GSF,142191,145942990,47.82724643,-4.399726098,-27.50209398,38.88087882,27.8518,1.13565,-1.72943,1,43.82959315,22.08176184,22.17411676,-30.68774308,31.2937,-0.867615,0.787485,-1,89.40250019
GSF-GSF,142265,36795919,126.4903369,30.89500302,-20.18553122,120.9869764,36.9047,1.90298,-0.578733,1,40.58272847,-32.04753199,15.34508426,19.60719082,35.5319,0.527074,2.69503,-1,90.12175696
GSF-GSF,142265,113846430,77.47305178,32.67217671,-53.17071632,45.90727118,62.4067,0.681599,-1.0198,1,40.64438547,-13.49815003,32.41084529,20.47689243,35.1093,0.554394,1.96542,-1,93.5214214
GSF-GSF,142265,87467507,103.2690107,-36.19994057,-18.23070729,94.98259942,40.5314,1.58746,-2.67506,1,72.87073732,40.22400747,6.330428699,60.43260091,40.7191,1.18593,0.156099,-1,81.93605194
GSF-GSF,142265,100544693,38.9046081,10.60232378,-33.95827205,15.74785768,35.5749,0.429354,-1.26817,-1,42.45041524,-14.70125358,37.50178352,-13.39877343,40.2804,-0.32679,1.9444,1,81.14039639
GSF-GSF,142265,20261996,93.84303046,-11.70387249,29.15923361,-88.42665226,31.4204,-1.75803,1.95249,-1,103.2275704,-7.51042172,-61.04099825,-82.90670292,61.5013,-1.10741,-1.69322,1,89.97814795
GSF-GSF,142265,78576815,54.77108594,7.725336573,43.14035283,-32.84967256,43.8266,-0.692777,1.3936,-1,48.72296479,-9.744591735,-44.28444647,-17.82857342,45.3439,-0.383701,-1.78739,1,90.20724793
GSF-GSF,142303,55702800,58.80992642,-5.322716098,31.45026549,49.40806553,31.8975,1.22162,1.73845,-1,53.58315358,-3.333588394,-50.9827302,16.14938875,51.0916,0.311047,-1.63609,1,88.7579621
GSF-GSF,142304,1084266,86.85826711,-25.01886102,41.63916887,-72.00413026,48.5774,-1.18488,2.11184,-1,86.60781808,17.71503572,-38.11791991,-75.72394499,42.0333,-1.35118,-1.13575,1,90.56021996
GSF-GSF,142305,2688872,75.16326483,-15.6331428,16.35473545,-71.67735943,22.6246,-1.87031,2.33364,-1,35.66694819,21.53428351,-22.54921359,17.3187411,31.18,0.530245,-0.808417,1,96.2043747
GSF-GSF,142305,167111042,143.2423316,22.97556531,37.12442522,-136.4267789,43.6589,-1.8572,1.01661,1,129.6465562,-10.35847655,-39.49377419,-123.049475,40.8296,-1.82278,-1.8273,-1,83.52014117
GSF-GSF,142305,19111019,43.08484065,39.4051942,-17.31228784,-1.954188707,43.0405,-0.0453879,-0.413954,1,55.43511664,-30.0005705,26.16917568,-38.57709386,39.8103,-0.859299,2.4243,-1,88.86228508
GSF-GSF,142305,19111019,7.771824182,-5.97769329,-4.949934963,-0.408139239,7.7611,-0.0525636,-2.44997,-1,55.43511664,-30.0005705,26.16917568,-38.57709386,39.8103,-0.859299,2.4243,-1,27.02919396
GSF-GSF,142305,19111019,7.771824182,-5.97769329,-4.949934963,-0.408139239,7.7611,-0.0525636,-2.44997,-1,43.08484065,39.4051942,-17.31228784,-1.954188707,43.0405,-0.0453879,-0.413954,1,31.10973133
GSF-GSF,142305,90662235,7.261363409,-3.962143947,1.990664923,5.750310149,4.43411,1.07652,2.67601,-1,41.20608595,-28.05085302,3.135943252,30.02094308,28.2256,0.925643,3.03026,-1,4.289172783
GSF-GSF,142305,90662235,51.35948824,27.12400188,-11.54734748,-42.05644208,29.4797,-1.15336,-0.402484,1,41.20608595,-28.05085302,3.135943252,30.02094308,28.2256,0.925643,3.03026,-1,91.38884787
GSF-GSF,142305,90662235,51.35948824,27.12400188,-11.54734748,-42.05644208,29.4797,-1.15336,-0.402484,1,7.261363409,-3.962143947,1.990664923,5.750310149,4.43411,1.07652,2.67601,-1,38.60656924
GSF-GSF,142305,149498854,58.5104808,31.69100602,-20.69199872,44.62059714,37.8481,1.00242,-0.578432,1,40.5768285,-31.12652993,22.99089961,-12.20805801,38.6968,-0.310468,2.50541,-1,93.60618885
GSF-GSF,142305,13335286,86.22442809,-14.66896543,44.39827509,-72.4449213,46.7588,-1.22182,1.8899,-1,71.10327625,11.58015389,-41.37241161,-56.65597486,42.9625,-1.08982,-1.29788,1,89.8124076
GSF-GSF,142305,98514470,33.67102843,5.861959317,27.0254624,-19.20937194,27.6539,-0.648266,1.3572,1,97.23891788,16.96176222,-16.72895019,-94.27538384,23.8235,-2.08429,-0.778488,-1,60.26345344
GSF-GSF,142305,122116100,42.51576828,37.76988981,4.552812163,18.98151409,38.0433,0.480268,0.119962,1,67.98206538,-2.61126411,-59.72494306,-32.36778782,59.782,-0.517958,-1.61449,-1,88.03684416
GSF-GSF,142308,28932159,67.923055,36.48452835,-23.14832654,52.40778158,43.2084,1.02421,-0.56538,-1,51.29446443,-36.57335501,23.88821074,26.88615205,43.6836,0.582049,2.563,1,89.02097343
GSF-GSF,142309,23564676,50.05793156,25.52225951,-27.35606552,33.25742715,37.4131,0.800612,-0.820064,-1,40.99026131,-18.96997189,30.78145125,-19.30916744,36.1574,-0.511441,2.1231,1,89.66913481
GSF-GSF,142309,64433631,51.60107523,11.96910963,-23.47517827,44.36583578,26.3504,1.29252,-1.09929,1,35.43927119,-15.48933053,23.32277524,-21.72718888,27.9977,-0.713845,2.15704,-1,83.97081868
GSF-GSF,142309,15395536,53.76910786,45.99473549,-18.3975006,-20.90773154,49.5377,-0.410436,-0.380499,-1,42.08253066,-22.64452506,34.30088288,-9.034063546,41.1014,-0.218067,2.15429,1,86.56139796
GSF-GSF,142309,6754816,50.63836614,12.0480464,-37.45863092,31.87380857,39.3485,0.740488,-1.25961,-1,59.99529688,-6.929937717,46.42624141,37.36329374,46.9406,0.729518,1.71897,1,85.67040319
GSF-GSF,142311,87353980,91.90189126,-28.19365759,-12.33144063,86.59682939,30.7725,1.75796,-2.72928,1,34.26748974,3.786248537,33.77795779,-4.356000757,33.9895,-0.127809,1.45917,-1,89.9971338
GSF-GSF,142311,37649257,50.08281081,-41.92104857,-0.462519173,-27.39889963,41.9236,-0.614193,-3.13056,1,72.33682598,43.78705332,8.84061456,-56.89599185,44.6706,-1.0623,0.199222,-1,88.35872501
GSF-GSF,142311,287659439,36.82762772,33.54928452,-10.18529656,-11.2685139,35.0613,-0.316104,-0.294749,1,115.3380895,-27.49936643,15.12104998,-110.9865469,31.3825,-1.97572,2.63885,-1,90.26152251
GSF-GSF,142311,301779566,162.7280778,9.708873059,33.40781172,158.9656668,34.79,2.22427,1.28797,1,55.52069844,2.421968322,-30.69690227,46.19937462,30.7923,1.19496,-1.49206,-1,73.38479262
GSF-GSF,142311,92798760,64.73653437,34.19493608,-11.4993317,53.75212181,36.0767,1.18917,-0.324407,-1,49.50740603,17.72586022,43.21421653,-16.41062526,46.7084,-0.344488,1.18154,1,89.19466098
GSF-GSF,142311,92798760,34.26327994,6.217981153,-6.165127701,33.12552283,8.75626,2.04071,-0.78113,1,49.50740603,17.72586022,43.21421653,-16.41062526,46.7084,-0.344488,1.18154,1,69.22569975
GSF-GSF,142311,92798760,34.26327994,6.217981153,-6.165127701,33.12552283,8.75626,2.04071,-0.78113,1,64.73653437,34.19493608,-11.4993317,53.75212181,36.0767,1.18917,-0.324407,-1,17.54995983
GSF-GSF,142311,258417975,28.16324534,1.68835154,-27.88814023,3.545347793,27.9392,0.126557,-1.51033,-1,90.16587936,-1.563575777,24.37700649,-86.79402391,24.4271,-1.98023,1.63485,1,84.01842683
GSF-GSF,142312,18675057,82.83030227,28.68618387,-1.288341261,77.69364199,28.7151,1.72102,-0.0448814,1,73.87784989,-49.08530202,-23.2820973,50.06509538,54.327,0.8248,-2.6987,-1,84.94303683
GSF-GSF,142313,68107865,179.4154941,-25.97020508,18.46920406,176.5626135,31.8679,2.41327,2.52341,-1,44.47925946,28.48018007,-17.40872446,29.39762198,33.3794,0.794461,-0.548656,1,87.75999944
GSF-GSF,142413,45302626,70.64845364,-13.32281689,-49.41801918,-48.69872618,51.1824,-0.846641,-1.83413,-1,48.6824936,17.65781415,43.28483688,-13.58711443,46.748,-0.286702,1.18346,1,101.5083292
GSF-GSF,142413,27805445,30.79370533,-6.016482968,-30.1705576,1.338534384,30.7646,0.0434952,-1.76763,-1,110.8029379,6.481597433,30.70075571,106.2673211,31.3775,1.93413,1.36273,1,92.0331016
GSF-GSF,142413,41721476,118.5560286,-17.68955986,33.28516232,-112.404223,37.6938,-1.81275,2.05929,1,40.52604651,20.92325102,-23.19817163,-25.81516696,31.24,-0.753112,-0.836913,-1,78.0403915
GSF-GSF,142413,83577165,24.4562009,14.48457308,9.441280881,-17.29639038,17.2899,-0.881639,0.577651,1,51.07383547,-45.64564336,19.57921684,-11.90236024,49.6676,-0.237404,2.73639,-1,55.12728696
GSF-GSF,142413,83577165,73.65174157,5.535137072,-49.38910083,-54.35676603,49.6983,-0.946126,-1.45919,1,51.07383547,-45.64564336,19.57921684,-11.90236024,49.6676,-0.237404,2.73639,-1,93.10593888
GSF-GSF,142413,83577165,73.65174157,5.535137072,-49.38910083,-54.35676603,49.6983,-0.946126,-1.45919,1,24.4562009,14.48457308,9.441280881,-17.29639038,17.2899,-0.881639,0.577651,1,49.94373273
GSF-GSF,142413,83577165,6.273554121,-3.32379678,1.705104448,5.040086789,3.73564,1.10809,2.6676,1,51.07383547,-45.64564336,19.57921684,-11.90236024,49.6676,-0.237404,2.73639,-1,19.76370146
GSF-GSF,142413,83577165,6.273554121,-3.32379678,1.705104448,5.040086789,3.73564,1.10809,2.6676,1,24.4562009,14.48457308,9.441280881,-17.29639038,17.2899,-0.881639,0.577651,1,23.35157452
GSF-GSF,142413,83577165,6.273554121,-3.32379678,1.705104448,5.040086789,3.73564,1.10809,2.6676,1,73.65174157,5.535137072,-49.38910083,-54.35676603,49.6983,-0.946126,-1.45919,1,40.95441983
GSF-GSF,142413,20739498,58.13010127,-13.42224109,-25.96313454,50.24806228,29.2274,1.31052,-2.04793,1,30.63081911,4.947409394,29.98995502,-3.791149793,30.3953,-0.124407,1.4073,-1,75.04810599
GSF-GSF,142414,80463407,75.24492611,-16.70619421,-38.2268832,62.62114164,41.718,1.19535,-1.98281,-1,47.0193069,14.97294369,36.38050267,25.75044084,39.3412,0.615028,1.18036,1,84.45467899
GSF-GSF,142414,97953146,193.243443,39.19786878,42.43456155,-184.4067876,57.7682,-1.87753,0.825027,-1,138.6729626,-40.56054591,-5.225760535,-132.5055625,40.8958,-1.89175,-3.01346,1,91.37128026
GSF-GSF,142414,97953146,37.49326028,-7.666877473,-9.381837188,-35.48161055,12.1161,-1.79558,-2.25594,1,138.6729626,-40.56054591,-5.225760535,-132.5055625,40.8958,-1.89175,-3.01346,1,16.60064734
GSF-GSF,142414,97953146,37.49326028,-7.666877473,-9.381837188,-35.48161055,12.1161,-1.79558,-2.25594,1,193.243443,39.19786878,42.43456155,-184.4067876,57.7682,-1.87753,0.825027,-1,52.93233963
GSF-GSF,142414,87952033,50.83235357,-41.12047717,23.19002275,18.84827239,47.2088,0.389342,2.6281,-1,37.00350996,33.65169779,-13.52359193,-7.344075582,36.2674,-0.201139,-0.382117,1,86.21815254
GSF-GSF,142419,102546225,119.8224594,-12.99690486,20.40863451,-117.3541217,24.1957,-2.28263,2.13786,-1,20.8686184,3.74974848,-19.54209989,6.288477678,19.8986,0.310989,-1.38122,1,85.86117462
GSF-GSF,142422,645997419,53.0424897,6.784624088,-47.19926778,23.23152406,47.6844,0.469728,-1.42803,1,35.76344933,-9.27444977,28.85925307,-18.97768166,30.3129,-0.591042,1.88174,-1,86.75162396
GSF-GSF,142422,466035616,41.42171337,32.75640516,-12.13719285,22.25903881,34.9327,0.600459,-0.354845,1,138.0611267,-28.62437621,3.752541676,135.0090301,28.8693,2.24695,3.01124,-1,85.98527969
GSF-GSF,142422,466035616,9.997798416,-1.003793119,5.186842359,-8.487934885,5.28308,-1.25249,1.76196,1,138.0611267,-28.62437621,3.752541676,135.0090301,28.8693,2.24695,3.01124,-1,70.39969285
GSF-GSF,142422,466035616,9.997798416,-1.003793119,5.186842359,-8.487934885,5.28308,-1.25249,1.76196,1,41.42171337,32.75640516,-12.13719285,22.25903881,34.9327,0.600459,-0.354845,1,37.38699166
GSF-GSF,142422,712582583,50.55683687,41.09624355,4.981001375,29.02209752,41.397,0.653541,0.120615,-1,38.36484271,-34.31330155,-5.838645284,16.13594478,34.8065,0.448411,-2.97305,1,76.2959531
GSF-GSF,142422,437449278,47.26661673,42.37121853,-11.15146623,-17.73295515,43.8141,-0.394425,-0.257349,1,46.42025975,-44.50020231,9.538984103,-9.142225751,45.5111,-0.199552,2.93043,-1,89.70965838
GSF-GSF,142422,669064371,156.3504821,31.32520954,-9.157117336,152.9063495,32.6362,2.24875,-0.2844,1,34.21356163,-29.68171473,-3.200810092,16.71282217,29.8538,0.534069,-3.03417,-1,85.95680274
GSF-GSF,142422,227012121,63.31297065,-23.68247874,-38.31311707,-44.49469085,45.0417,-0.87276,-2.12444,-1,46.33106078,28.30935694,35.86862837,-7.654345289,45.6944,-0.166738,0.902644,1,96.30632447
GSF-GSF,142422,698257713,64.13200178,-20.89669719,-41.14678903,-44.53294792,46.149,-0.856394,-2.04071,-1,55.82896192,20.49075061,40.00868118,-33.11053545,44.9507,-0.68239,1.09747,1,91.43665686
GSF-GSF,142422,119307162,100.7233004,-46.15237295,24.85314027,-86.00850616,52.4187,-1.27041,2.64762,1,79.02086884,41.36179419,-14.78746434,-65.68737011,43.9257,-1.19222,-0.343354,-1,95.7708725
GSF-GSF,142422,310116483,176.9591994,92.81690685,71.16644858,132.7965235,116.96,0.973952,0.654129,1,22.065693,-18.83097216,6.794619938,9.280217389,20.0193,0.448387,2.79531,-1,88.73139669
GSF-GSF,142422,475026917,25.31092619,-18.20709428,7.373520886,-15.96170078,19.6435,-0.742453,2.7568,1,34.85651639,-7.18507514,4.750608738,-33.77548144,8.61357,-2.07542,2.5574,-1,18.83021678
GSF-GSF,142422,475026917,84.7972938,26.34379308,-30.38332164,74.65547111,40.2137,1.37754,-0.856488,-1,34.85651639,-7.18507514,4.750608738,-33.77548144,8.61357,-2.07542,2.5574,-1,107.8043055
GSF-GSF,142422,475026917,84.7972938,26.34379308,-30.38332164,74.65547111,40.2137,1.37754,-0.856488,-1,25.31092619,-18.20709428,7.373520886,-15.96170078,19.6435,-0.742453,2.7568,1,89.90664399
GSF-GSF,142422,564283021,176.2241832,-9.942076591,42.13040976,170.8248999,43.2876,2.0816,1.80254,1,53.28845858,-0.204585557,-35.9949186,39.29355923,35.9955,0.944701,-1.57648,-1,91.57339602
GSF-GSF,142422,354119449,175.4544969,21.70826931,22.61216976,-172.6317506,31.3458,-2.40737,0.80579,-1,22.87777948,6.04736716,-22.02487118,-1.314227415,22.84,-0.0575089,-1.30283,1,91.14696003
GSF-GSF,142422,330255334,86.76660204,25.30918189,-5.614252168,-82.80319265,25.9244,-1.87808,-0.218292,-1,29.10858942,-28.47270076,3.16436649,5.157719799,28.648,0.179079,3.03091,1,85.91990892
GSF-GSF,142422,449602446,98.46353444,40.1429811,86.51704309,24.46241886,95.3764,0.253751,1.13637,-1,52.68006352,-35.93705224,24.38971533,29.81374103,43.4319,0.641529,2.54532,1,87.06599088
GSF-GSF,142422,449602446,9.915561506,-8.580302477,4.714802491,1.570798074,9.79035,0.159763,2.63914,1,52.68006352,-35.93705224,24.38971533,29.81374103,43.4319,0.641529,2.54532,1,10.21543678
GSF-GSF,142422,449602446,9.915561506,-8.580302477,4.714802491,1.570798074,9.79035,0.159763,2.63914,1,98.46353444,40.1429811,86.51704309,24.46241886,95.3764,0.253751,1.13637,-1,41.81922671
GSF-GSF,142422,449602446,6.408884535,-2.026162002,-3.688729996,-4.833398315,4.20857,-0.982559,-2.07309,-1,52.68006352,-35.93705224,24.38971533,29.81374103,43.4319,0.641529,2.54532,1,31.58717826
GSF-GSF,142422,449602446,6.408884535,-2.026162002,-3.688729996,-4.833398315,4.20857,-0.982559,-2.07309,-1,98.46353444,40.1429811,86.51704309,24.46241886,95.3764,0.253751,1.13637,-1,47.95314864
GSF-GSF,142422,449602446,6.408884535,-2.026162002,-3.688729996,-4.833398315,4.20857,-0.982559,-2.07309,-1,9.915561506,-8.580302477,4.714802491,1.570798074,9.79035,0.159763,2.63914,1,11.92866567
GSF-GSF,142422,449602446,5.196411561,4.719392086,1.501464782,-1.57341498,4.95248,-0.312587,0.308022,-1,52.68006352,-35.93705224,24.38971533,29.81374103,43.4319,0.641529,2.54532,1,30.12100329
GSF-GSF,142422,449602446,5.196411561,4.719392086,1.501464782,-1.57341498,4.95248,-0.312587,0.308022,-1,98.46353444,40.1429811,86.51704309,24.46241886,95.3764,0.253751,1.13637,-1,21.48459098
GSF-GSF,142422,449602446,5.196411561,4.719392086,1.501464782,-1.57341498,4.95248,-0.312587,0.308022,-1,9.915561506,-8.580302477,4.714802491,1.570798074,9.79035,0.159763,2.63914,1,13.22206925
GSF-GSF,142422,449602446,5.196411561,4.719392086,1.501464782,-1.57341498,4.95248,-0.312587,0.308022,-1,6.408884535,-2.026162002,-3.688729996,-4.833398315,4.20857,-0.982559,-2.07309,-1,9.033162429
GSF-GSF,142422,562140779,155.2719339,-7.853704685,-35.31586642,-150.998286,36.1786,-2.136,-1.78962,1,47.51239533,0.805204633,36.22155126,-30.73725068,36.2305,-0.770003,1.54857,-1,89.68376269
GSF-GSF,142513,10572315,16.21695273,5.233628345,-0.714904274,15.33256671,5.28223,1.78721,-0.135758,1,45.66648938,8.55119312,-40.72317993,18.8129733,41.6113,0.437975,-1.36382,1,27.50466105
GSF-GSF,142513,10572315,93.77967939,35.77537385,33.00351842,80.15933298,48.6735,1.27357,0.745119,-1,45.66648938,8.55119312,-40.72317993,18.8129733,41.6113,0.437975,-1.36382,1,87.32284272
GSF-GSF,142513,10572315,93.77967939,35.77537385,33.00351842,80.15933298,48.6735,1.27357,0.745119,-1,16.21695273,5.233628345,-0.714904274,15.33256671,5.28223,1.78721,-0.135758,1,16.00822624
GSF-GSF,142513,10572315,5.182294933,-5.142209043,0.354150292,0.537070055,5.15439,0.104009,3.07283,1,45.66648938,8.55119312,-40.72317993,18.8129733,41.6113,0.437975,-1.36382,1,23.87247289
GSF-GSF,142513,10572315,5.182294933,-5.142209043,0.354150292,0.537070055,5.15439,0.104009,3.07283,1,16.21695273,5.233628345,-0.714904274,15.33256671,5.28223,1.78721,-0.135758,1,14.35074663
GSF-GSF,142513,10572315,5.182294933,-5.142209043,0.354150292,0.537070055,5.15439,0.104009,3.07283,1,93.77967939,35.77537385,33.00351842,80.15933298,48.6735,1.27357,0.745119,-1,35.07760042
GSF-GSF,142513,10572315,3.29778328,-2.302523296,2.228723114,-0.778815799,3.2045,-0.240707,2.37248,-1,45.66648938,8.55119312,-40.72317993,18.8129733,41.6113,0.437975,-1.36382,1,23.48190963
GSF-GSF,142513,10572315,3.29778328,-2.302523296,2.228723114,-0.778815799,3.2045,-0.240707,2.37248,-1,16.21695273,5.233628345,-0.714904274,15.33256671,5.28223,1.78721,-0.135758,1,12.57498437
GSF-GSF,142513,10572315,3.29778328,-2.302523296,2.228723114,-0.778815799,3.2045,-0.240707,2.37248,-1,93.77967939,35.77537385,33.00351842,80.15933298,48.6735,1.27357,0.745119,-1,27.58667582
GSF-GSF,142513,10572315,3.29778328,-2.302523296,2.228723114,-0.778815799,3.2045,-0.240707,2.37248,-1,5.182294933,-5.142209043,0.354150292,0.537070055,5.15439,0.104009,3.07283,1,3.1237815
GSF-GSF,142513,10572315,1.908392099,-1.875126154,0.346434647,0.076453138,1.90686,0.040083,2.9589,1,45.66648938,8.55119312,-40.72317993,18.8129733,41.6113,0.437975,-1.36382,1,15.22194096
GSF-GSF,142513,10572315,1.908392099,-1.875126154,0.346434647,0.076453138,1.90686,0.040083,2.9589,1,16.21695273,5.233628345,-0.714904274,15.33256671,5.28223,1.78721,-0.135758,1,8.926081211
GSF-GSF,142513,10572315,1.908392099,-1.875126154,0.346434647,0.076453138,1.90686,0.040083,2.9589,1,93.77967939,35.77537385,33.00351842,80.15933298,48.6735,1.27357,0.745119,-1,21.37707856
GSF-GSF,142513,10572315,1.908392099,-1.875126154,0.346434647,0.076453138,1.90686,0.040083,2.9589,1,5.182294933,-5.142209043,0.354150292,0.537070055,5.15439,0.104009,3.07283,1,0.409413424
GSF-GSF,142513,10572315,1.908392099,-1.875126154,0.346434647,0.076453138,1.90686,0.040083,2.9589,1,3.29778328,-2.302523296,2.228723114,-0.778815799,3.2045,-0.240707,2.37248,-1,1.589577407
GSF-GSF,142513,2625980,60.23187792,-9.794352704,-36.17017272,-47.15578837,37.4728,-1.05283,-1.83524,1,178.5925072,1.681030551,42.35705547,-173.4887247,42.3904,-2.11694,1.53113,-1,90.82390786
GSF-GSF,142513,2625980,18.82082292,5.091168673,-5.01570768,-17.41108994,7.14684,-1.62327,-0.777932,1,178.5925072,1.681030551,42.35705547,-173.4887247,42.3904,-2.11694,1.53113,-1,33.00067757
GSF-GSF,142513,2625980,18.82082292,5.091168673,-5.01570768,-17.41108994,7.14684,-1.62327,-0.777932,1,60.23187792,-9.794352704,-36.17017272,-47.15578837,37.4728,-1.05283,-1.83524,1,19.02763907
GSF-GSF,142513,90319615,112.0293443,22.30212788,-13.79027431,108.9174798,26.2213,2.13135,-0.553795,1,26.56751002,-25.02441795,8.460706949,-2.833290051,26.416,-0.107052,2.81556,-1,88.99110942
GSF-GSF,142514,15044054,73.12291831,7.493709026,-46.97989753,-55.53102498,47.5738,-0.994844,-1.41262,1,47.44236939,-6.364696991,42.17434298,20.77483669,42.6519,0.469625,1.72058,-1,115.341354
GSF-GSF,142523,24710785,46.94116359,-18.62100995,37.43216334,21.34394469,41.808,0.490604,2.03241,1,47.75566403,28.52834626,-36.21209466,-12.46680018,46.0997,-0.267239,-0.903531,-1,93.74988846
GSF-GSF,142523,45605427,63.11784762,34.57406236,9.092200619,-52.01758153,35.7496,-1.16957,0.257155,-1,3.226684742,0.465723325,2.083185454,2.419697153,2.13461,0.972731,1.35085,-1,24.26872484
GSF-GSF,142523,45605427,143.7860288,-48.89014194,-1.31412419,-135.2126073,48.9078,-1.74127,-3.11472,1,3.226684742,0.465723325,2.083185454,2.419697153,2.13461,0.972731,1.35085,-1,40.41367566
GSF-GSF,142523,45605427,143.7860288,-48.89014194,-1.31412419,-135.2126073,48.9078,-1.74127,-3.11472,1,63.11784762,34.57406236,9.092200619,-52.01758153,35.7496,-1.16957,0.257155,-1,86.5368237
GSF-GSF,142524,149257782,45.85918594,-35.55335798,26.6084843,11.44605759,44.4078,0.254977,2.49911,1,43.52986179,30.34120182,-30.96853492,-3.900023615,43.3548,-0.0898351,-0.79563,-1,88.81037447
GSF-GSF,142524,198627847,93.57559684,-10.30981115,-27.38092314,88.88411087,29.2576,1.83039,-1.93091,-1,33.79353209,13.71545701,29.56295431,-8.939842415,32.5896,-0.270987,1.13641,1,99.07294918
GSF-GSF,142524,195452388,40.65375992,21.45042244,15.21377408,31.0023975,26.2979,1.00239,0.616909,-1,42.43468586,-25.95867395,-30.442656,-14.14547653,40.0076,-0.346589,-2.27686,1,79.79530602
GSF-GSF,142524,197315589,48.58778036,39.77272061,11.48622563,-25.4355994,41.3981,-0.581146,0.281147,1,85.36685026,-50.05839912,21.15683782,-65.83345665,54.3457,-1.02324,2.74172,-1,91.88273885
GSF-GSF,142524,73218811,220.2644668,-45.73723364,6.802264574,215.3561468,46.2403,2.24292,2.99395,1,103.8305763,36.13433911,-14.14836977,96.30639512,38.8055,1.64044,-0.3732,-1,88.07880581
GSF-GSF,142524,62867351,46.11826541,2.504756317,-37.23575072,-27.0946391,37.3199,-0.673845,-1.50363,1,52.73703365,-26.41250231,43.09403527,-15.04920476,50.5442,-0.293511,2.12065,-1,85.96724236
GSF-GSF,142524,62867351,15.62441622,-1.61199745,-2.591262682,15.32348537,3.05175,2.31659,-2.1273,-1,52.73703365,-26.41250231,43.09403527,-15.04920476,50.5442,-0.293511,2.12065,-1,47.4063859
GSF-GSF,142524,62867351,15.62441622,-1.61199745,-2.591262682,15.32348537,3.05175,2.31659,-2.1273,-1,46.11826541,2.504756317,-37.23575072,-27.0946391,37.3199,-0.673845,-1.50363,1,45.67943366
GSF-GSF,142524,163392608,31.15273434,-20.82105307,17.25177433,15.47103386,27.0396,0.544808,2.44967,1,61.99724581,18.39739696,-12.1415159,-57.94633608,22.0427,-1.69404,-0.583344,-1,82.70899984
GSF-GSF,142524,239615287,25.62688065,9.570116265,22.10617923,8.744525503,24.0888,0.355478,1.16224,1,93.29659784,-9.803914746,-17.8802876,-91.04083556,20.3917,-2.20164,-2.07234,-1,85.74496059
GSF-GSF,142525,44208170,125.3700132,-22.35475293,-13.5486022,-122.6146019,26.14,-2.2499,-2.59672,1,25.2391809,24.40415293,-0.67550124,6.402911056,24.4135,0.259352,-0.0276727,-1,94.71772319
GSF-GSF,142525,92549691,150.0160314,-44.18070443,-37.22442458,-138.4457196,57.7719,-1.60806,-2.44144,1,48.42224481,-13.46627326,38.21762176,-26.51012379,40.5207,-0.614773,1.90957,-1,94.03807077
GSF-GSF,142525,92549691,25.28831733,7.602662548,11.68621978,21.09812273,13.9416,1.20213,0.994023,-1,48.42224481,-13.46627326,38.21762176,-26.51012379,40.5207,-0.614773,1.90957,-1,53.65800858
GSF-GSF,142525,92549691,25.28831733,7.602662548,11.68621978,21.09812273,13.9416,1.20213,0.994023,-1,150.0160314,-44.18070443,-37.22442458,-138.4457196,57.7719,-1.60806,-2.44144,1,122.3560508
GSF-GSF,142528,266993250,47.03069605,19.98309352,13.94352141,40.22611782,24.3669,1.27563,0.609225,-1,9.924366553,-3.862969767,4.162411097,-8.139093909,5.67875,-1.15716,2.3189,1,40.33136337
GSF-GSF,142528,266993250,36.23658265,-28.28597209,-3.288591656,-22.40934781,28.4765,-0.722439,-3.02585,1,9.924366553,-3.862969767,4.162411097,-8.139093909,5.67875,-1.15716,2.3189,1,12.77919858
