Type,Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
GSF-GSF,142035,48834216,106.7466618,-39.01887026,-67.23055148,73.16030703,77.733,0.83916,-2.09666,1,100.6356865,20.93026165,-4.47736549,98.33320263,21.4038,2.22958,-0.210742,-1,90.15648298
GSF-GSF,142035,48834216,11.41638814,7.91786272,5.121089774,-6.435511424,9.42964,-0.638252,0.574106,1,100.6356865,20.93026165,-4.47736549,98.33320263,21.4038,2.22958,-0.210742,-1,57.25253808
GSF-GSF,142035,48834216,11.41638814,7.91786272,5.121089774,-6.435511424,9.42964,-0.638252,0.574106,1,106.7466618,-39.01887026,-67.23055148,73.16030703,77.733,0.83916,-2.09666,1,68.4503479
GSF-GSF,142035,48834216,5.266254352,-2.409060221,-1.438967011,-4.456370432,2.8061,-1.24266,-2.60315,1,100.6356865,20.93026165,-4.47736549,98.33320263,21.4038,2.22958,-0.210742,-1,44.99248334
GSF-GSF,142035,48834216,5.266254352,-2.409060221,-1.438967011,-4.456370432,2.8061,-1.24266,-2.60315,1,106.7466618,-39.01887026,-67.23055148,73.16030703,77.733,0.83916,-2.09666,1,37.3481766
GSF-GSF,142035,48834216,5.266254352,-2.409060221,-1.438967011,-4.456370432,2.8061,-1.24266,-2.60315,1,11.41638814,7.91786272,5.121089774,-6.435511424,9.42964,-0.638252,0.574106,1,10.75976473
GSF-GSF,142035,315669113,45.03398999,-20.57210268,-35.22928054,-19.07214298,40.796,-0.451956,-2.09933,-1,47.39428336,20.61303998,31.94290612,28.30143859,38.0164,0.688704,0.997726,1,91.90758339
GSF-GSF,142035,98738765,91.34535127,-25.4142163,-41.10917788,77.51210423,48.3306,1.25099,-2.1245,1,79.87119612,27.4443021,36.70895674,65.41154903,45.8338,1.15366,0.928821,-1,94.15122009
GSF-GSF,142035,208406570,57.06558441,-31.93413468,19.43045874,-43.11785291,37.3809,-0.985843,2.59498,1,39.75029914,33.24083611,-21.17880407,5.156680528,39.4144,0.130462,-0.567276,-1,89.03651228
GSF-GSF,142035,171664491,256.3934779,47.50949539,34.70759113,249.5512903,58.8368,2.15166,0.63093,-1,123.8511935,-9.41117072,-38.2892677,117.4073251,39.4289,1.81137,-1.81181,1,91.99496736
GSF-GSF,142035,144562178,39.28753853,-29.45802061,19.5307868,17.15470991,35.3444,0.468078,2.55613,-1,55.26450401,24.99033215,-16.23119776,-46.54242067,29.7988,-1.22861,-0.576023,1,89.69728913
GSF-GSF,142036,60177170,95.24572833,-11.19743292,-30.7639453,-89.44241684,32.7384,-1.73012,-1.91987,-1,36.19833823,16.35477742,31.76302516,-5.826764015,35.7263,-0.16238,1.0953,1,90.40868017
GSF-GSF,142036,26961203,125.3380993,18.15017867,-12.89889128,-123.3443503,22.2668,-2.41308,-0.617855,1,23.17923374,-15.96614887,13.49463954,-10.01267549,20.9051,-0.462313,2.43989,-1,65.33128638
GSF-GSF,142036,42272149,144.0118728,33.96008661,4.344863538,139.8830018,34.2369,2.1153,0.127249,1,35.05688711,-30.66154337,6.931655223,15.51796532,31.4353,0.475523,2.91926,-1,88.19365022
GSF-GSF,142038,164612016,54.75716107,-46.89920279,1.97809758,-28.19394608,46.9409,-0.569362,3.09944,-1,57.04743393,37.3138053,-22.63509975,-36.73883384,43.6425,-0.764987,-0.545269,1,88.12156361
GSF-GSF,142038,297928101,59.75251124,-13.51906076,-35.49343264,46.12823251,37.9809,1.02523,-1.93472,1,37.55516854,15.77696832,33.41551583,-6.699347453,36.9528,-0.180316,1.12968,-1,88.90855799
GSF-GSF,142038,82604361,145.3321772,18.50141318,38.90536198,138.8002603,43.0805,1.88637,1.1269,1,202.9525499,-19.66459795,-40.39957063,197.9164364,44.9313,2.1885,-2.02379,-1,88.9973689
GSF-GSF,142038,72318268,134.3020321,-26.2475699,30.85074887,-128.0481636,40.5056,-1.86824,2.27575,1,106.0837491,25.38794314,-31.21557593,-98.15702713,40.2363,-1.62453,-0.887992,-1,81.33672862
GSF-GSF,142038,43735256,79.07301839,42.97835444,-21.84137966,62.67660984,48.2098,1.0785,-0.470182,-1,44.00216427,-39.71760149,18.85876952,-1.746254314,43.9675,-0.0397065,2.69829,1,106.8431743
GSF-GSF,142038,290681524,40.29720215,9.632020543,-37.46308346,-11.29628516,38.6815,-0.288034,-1.31914,1,74.47398112,-23.76697259,38.49024666,-59.16084676,45.2368,-1.0832,2.12397,-1,89.48388199
GSF-GSF,142038,332966419,55.10202452,20.36440535,4.83495862,-50.97202444,20.9305,-1.62293,0.233106,-1,33.73700524,-28.14511236,-6.070827623,17.58360669,28.7924,0.577981,-2.92915,1,81.94827634
GSF-GSF,142038,349281907,58.57332074,40.91694657,18.73046938,-37.49409156,45.0003,-0.758381,0.429295,-1,72.4156948,-45.8406886,-11.83417633,-54.79613483,47.3436,-0.988422,-2.88895,1,92.56799777
GSF-GSF,142038,428894839,54.22399097,13.75191491,-29.30692691,-43.4997709,32.373,-1.10482,-1.13206,1,35.40184686,-4.758419542,26.66952324,22.79001391,27.0907,0.764555,1.74736,-1,86.69520123
GSF-GSF,142038,68762127,32.63050381,-5.692304349,-30.8516637,-8.973421684,31.3724,-0.282266,-1.75325,1,50.12913416,6.388485933,24.96867591,42.99630871,25.773,1.28462,1.32031,-1,75.20975084
GSF-GSF,142038,302240048,87.13734479,19.01033905,27.34209669,80.52287634,33.3014,1.61634,0.963247,-1,42.0763748,-7.21570129,-38.21452864,16.06252696,38.8898,0.402103,-1.75742,1,84.32153902
GSF-GSF,142038,335121260,40.26119953,40.22364213,-0.444674388,-1.680793228,40.2261,-0.0417715,-0.0110546,-1,50.45792564,-48.5219786,13.8425888,-0.050864599,50.4579,-0.00100806,2.86369,1,89.32297875
GSF-GSF,142040,129331820,45.31769311,37.4213576,-22.97428816,-11.20345428,43.911,-0.25245,-0.550603,1,44.23507215,-32.94682125,22.76394286,18.78966425,40.0461,0.453496,2.53698,-1,89.11835649
GSF-GSF,142040,122095192,22.56918604,-20.47832218,3.219794226,-8.924091221,20.7299,-0.418197,2.98564,-1,82.03762193,12.66468775,51.23152444,62.81009473,52.7737,1.00967,1.32845,1,70.80172252
GSF-GSF,142040,50417232,88.98045639,-31.29337023,5.32381713,-83.12582974,31.743,-1.69044,2.97308,1,44.99649439,32.13187178,-5.420071728,-31.02982671,32.5858,-0.847203,-0.167109,-1,70.12558086
GSF-GSF,142040,136626175,32.19661367,6.43157403,30.15188365,9.280123885,30.8302,0.296638,1.36064,-1,68.59512421,-30.13062635,-39.49997159,-47.2989288,49.68,-0.847074,-2.22244,1,89.80263397
